"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1040","test_guest_can_add_promo_offer_product_to_basket[5-Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:32 UTC 2025","passed","Sat Jun 28 20:46:33 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","966","test_guest_can_add_promo_offer_product_to_basket[5-British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:28 UTC 2025","passed","Sat Jun 28 20:46:29 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","534","test_guest_can_go_to_login_page_from_product_page[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:57 UTC 2025","passed","Sat Jun 28 20:45:58 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","10488","test_guest_cant_see_product_in_basket_opened_from_product_page[British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:55 UTC 2025","passed","Sat Jun 28 20:47:06 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","401","test_create_new_object[Create object: HP Spectre x360]","requests_library.restful_api.tests","Sat Jun 28 20:44:33 UTC 2025","passed","Sat Jun 28 20:44:34 UTC 2025","TestObjects","test_objects","",""
"","8074","test_successful_login","selenium_library.stepik.tests","Sat Jun 28 20:49:29 UTC 2025","passed","Sat Jun 28 20:49:37 UTC 2025","TestStepik","test_authentication","",""
"","200","test_guest_can_go_to_login_page[Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:58 UTC 2025","passed","Sat Jun 28 20:44:58 UTC 2025","TestMainPage","test_main_page","",""
"","981","test_guest_can_add_promo_offer_product_to_basket[3-German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:20 UTC 2025","passed","Sat Jun 28 20:46:21 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","408","test_update_object[Update to: HP Spectre x360 Updated]","requests_library.restful_api.tests","Sat Jun 28 20:44:38 UTC 2025","passed","Sat Jun 28 20:44:38 UTC 2025","TestObjects","test_objects","",""
"","10265","test_guest_cant_see_products_in_basket_opened_from_main_page[Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:34 UTC 2025","passed","Sat Jun 28 20:45:45 UTC 2025","TestMainPage","test_main_page","",""
"","211","test_guest_can_go_to_login_page[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:56 UTC 2025","passed","Sat Jun 28 20:44:56 UTC 2025","TestMainPage","test_main_page","",""
